2015	7	30	7	1364
2012	2	9	2	1466
2006	12	50	1	1582
2012	7	29	2	1504
2006	4	16	5	1488
2014	3	11	6	1505
2007	12	52	6	1329
2012	1	5	1	1307
2016	11	45	6	1158
2010	11	47	4	796
2008	1	1	5	1467
2010	4	16	6	1389
2014	6	23	4	1410
2012	8	31	7	1310
2015	12	53	1	1267
2016	10	42	3	1525
2008	10	43	5	1609
2012	11	45	4	1048
2012	8	34	3	1525
2011	11	44	2	1540
2008	5	21	7	1195
2008	5	20	4	1528
2014	6	26	6	1339
2010	6	24	2	1516
2008	5	20	2	1606
2015	2	8	5	1103
2015	5	22	3	1498
2007	9	37	6	1474
2013	8	35	4	1459
2010	9	37	7	1329
2014	3	13	4	1344
2016	10	41	2	1357
2009	6	27	2	1499
2016	12	52	2	1347
2009	8	34	5	1467
2016	1	53	6	1072
2006	2	6	7	612
2015	12	50	7	1261
2010	7	26	5	1423
2009	11	48	3	1429
2012	12	50	3	1411
2006	2	6	1	1528
2006	6	24	5	1618
2007	2	8	4	1415
2014	6	22	7	1212
2011	12	52	6	1118
2008	2	7	3	1266
2014	11	45	4	1349
2006	1	1	5	1563
2015	6	26	3	1437
2007	4	14	6	1280
2012	2	8	7	1131
2008	10	42	5	1560
2009	4	15	4	1482
2006	5	20	7	1257
2009	12	53	4	1094
2016	6	25	6	1265
2016	2	7	5	1172
2010	9	38	6	1407
2010	7	28	3	1501
2010	1	1	3	1498
2013	4	17	2	1353
2012	4	16	2	1592
2015	9	37	3	1490
2007	2	5	6	1226
2013	10	40	5	1598
2016	3	11	3	1378
2010	11	45	6	1457
2007	4	16	5	1576
2012	4	15	5	1434
2008	7	31	2	1791
2006	8	34	1	1677
2010	4	14	1	1343
2016	7	26	5	1361
2012	8	32	6	1476
2013	11	46	5	1517
2012	11	47	6	1205
2016	12	50	2	1322
2006	4	15	5	1412
2006	10	42	4	1656
2016	6	24	5	1396
2006	12	51	3	1549
2016	3	12	2	1327
2008	2	8	6	1227
2015	7	27	4	1372
2016	3	12	4	1343
2013	6	26	2	1482
2006	2	7	1	1093
2014	3	10	4	1367
2015	5	20	6	1268
2011	8	31	6	1300
2010	11	46	2	1444
2010	4	17	4	1550
2006	2	9	2	1460
2013	4	18	1	1339
2007	2	6	7	1137
2008	7	28	6	1337
2013	2	6	1	1193
2007	6	26	3	1608
2016	8	33	2	1503
2010	4	15	3	1542
2010	2	5	4	1402
2012	5	20	3	1612
2011	1	5	1	1168
2013	6	25	4	1436
2012	12	48	7	1189
2013	6	22	6	1242
2006	1	3	7	1189
2006	9	38	7	1431
2013	12	49	1	1389
2006	10	41	2	1652
2008	10	41	4	1579
2012	6	26	1	1386
2007	9	38	2	1594
2014	9	40	1	1495
2011	8	32	6	1394
2006	1	2	4	1660
2006	4	14	5	1559
2009	8	35	6	1311
2013	8	34	2	1469
2014	5	20	5	1438
2014	9	39	2	1492
2006	1	4	6	1299
2008	1	1	3	1409
2007	6	26	1	1605
2009	8	33	4	1625
2012	10	41	7	1214
2016	8	31	7	1256
2015	3	11	6	1215
2006	6	25	5	1683
2009	5	20	1	1445
2010	3	9	3	1489
2009	4	14	5	1438
2014	8	33	1	1490
2006	6	25	7	1288
2015	6	25	2	1518
2009	5	20	7	1151
2009	12	52	2	1344
2015	6	26	1	1471
2006	1	2	2	1733
2006	9	39	3	1718
2013	11	46	3	1455
2007	4	13	7	1158
2009	5	18	5	1518
2007	5	20	3	1646
2009	2	8	1	1164
2006	5	19	7	1204
2007	10	43	5	1522
2015	11	46	1	1381
2012	8	32	4	1608
2009	4	15	6	1206
2016	11	45	4	1171
2013	10	43	6	1316
